Type,CurrentGen,Arch,CpuCores,CpuThreadsPerCore,VCpu,GpuCount,GpuName,MemoryMiB,EbsOnly,InstanceStorage,NetPerf,EbsBwMbps,HasGPU,USDPerHr
r3.xlarge,False,x86_64,2,2,4,,,31232,supported,80.0,Moderate,500.0,False,0.333
r5dn.xlarge,True,x86_64,2,2,4,,,32768,default,150.0,Up to 25 Gigabit,1150.0,False,0.334
r6in.xlarge,True,x86_64,2,2,4,,,32768,default,,Up to 30 Gigabit,3125.0,False,0.34866
r8gb.xlarge,True,arm64,4,1,4,,,32768,default,,Up to 26.66 Gigabit,6250.0,False,0.36436
r8gn.xlarge,True,arm64,4,1,4,,,32768,default,,Up to 40 Gigabit,2500.0,False,0.3644
r7iz.xlarge,True,x86_64,2,2,4,,,32768,default,,Up to 12.5 Gigabit,1584.0,False,0.372
r6idn.xlarge,True,x86_64,2,2,4,,,32768,default,237.0,Up to 30 Gigabit,3125.0,False,0.39078
r6g.2xlarge,True,arm64,8,1,8,,,65536,default,,Up to 10 Gigabit,2375.0,False,0.4032
r7g.2xlarge,True,arm64,8,1,8,,,65536,default,,Up to 15 Gigabit,2500.0,False,0.4284
r5a.2xlarge,True,x86_64,4,2,8,,,65536,default,,Up to 10 Gigabit,1580.0,False,0.452
r6a.2xlarge,True,x86_64,4,2,8,,,65536,default,,Up to 12.5 Gigabit,2500.0,False,0.4536
r6gd.2xlarge,True,arm64,8,1,8,,,65536,default,474.0,Up to 10 Gigabit,2375.0,False,0.4608
r8g.2xlarge,True,arm64,8,1,8,,,65536,default,,Up to 15 Gigabit,2500.0,False,0.47128
r5.2xlarge,True,x86_64,4,2,8,,,65536,default,,Up to 10 Gigabit,2300.0,False,0.504
r6i.2xlarge,False,x86_64,4,2,8,,,65536,default,,Up to 12.5 Gigabit,2500.0,False,0.504
r5ad.2xlarge,True,x86_64,4,2,8,,,65536,default,300.0,Up to 10 Gigabit,1580.0,False,0.524
r8i-flex.2xlarge,True,x86_64,4,2,8,,,65536,default,,Up to 15 Gigabit,1250.0,False,0.52788
r7i.2xlarge,True,x86_64,4,2,8,,,65536,default,,Up to 12.5 Gigabit,2500.0,False,0.5292
r4.2xlarge,False,x86_64,4,2,8,,,62464,default,,Up to 10 Gigabit,1700.0,False,0.532
r7gd.2xlarge,True,arm64,8,1,8,,,65536,default,474.0,Up to 15 Gigabit,2500.0,False,0.5443
r8i.2xlarge,True,x86_64,4,2,8,,,65536,default,,Up to 15 Gigabit,2500.0,False,0.55568
r5d.2xlarge,True,x86_64,4,2,8,,,65536,default,300.0,Up to 10 Gigabit,2300.0,False,0.576
r8gd.2xlarge,True,arm64,8,1,8,,,65536,default,474.0,Up to 15 Gigabit,2500.0,False,0.58784
r5n.2xlarge,True,x86_64,4,2,8,,,65536,default,,Up to 25 Gigabit,2300.0,False,0.596
r5b.2xlarge,True,x86_64,4,2,8,,,65536,default,,Up to 10 Gigabit,5000.0,False,0.596
r6id.2xlarge,True,x86_64,4,2,8,,,65536,default,474.0,Up to 12.5 Gigabit,2500.0,False,0.6048
r7a.2xlarge,True,x86_64,8,1,8,,,65536,default,,Up to 12.5 Gigabit,2500.0,False,0.6086
r8a.2xlarge,True,x86_64,8,1,8,,,65536,default,,Up to 15 Gigabit,2500.0,False,0.63904
r3.2xlarge,False,x86_64,4,2,8,,,62464,supported,160.0,High,1000.0,False,0.665
r5dn.2xlarge,True,x86_64,4,2,8,,,65536,default,300.0,Up to 25 Gigabit,2300.0,False,0.668
r6in.2xlarge,True,x86_64,4,2,8,,,65536,default,,Up to 40 Gigabit,6250.0,False,0.69732
r8gn.2xlarge,True,arm64,8,1,8,,,65536,default,,Up to 50 Gigabit,5000.0,False,0.7287
r8gb.2xlarge,True,arm64,8,1,8,,,65536,default,,Up to 33.33 Gigabit,12500.0,False,0.72872
r7iz.2xlarge,True,x86_64,4,2,8,,,65536,default,,Up to 12.5 Gigabit,3168.0,False,0.744
r6idn.2xlarge,True,x86_64,4,2,8,,,65536,default,474.0,Up to 40 Gigabit,6250.0,False,0.78156
r6g.4xlarge,True,arm64,16,1,16,,,131072,default,,Up to 10 Gigabit,4750.0,False,0.8064
r7g.4xlarge,True,arm64,16,1,16,,,131072,default,,Up to 15 Gigabit,5000.0,False,0.8568
r5a.4xlarge,True,x86_64,8,2,16,,,131072,default,,Up to 10 Gigabit,2880.0,False,0.904
r6a.4xlarge,True,x86_64,8,2,16,,,131072,default,,Up to 12.5 Gigabit,5000.0,False,0.9072
r6gd.4xlarge,True,arm64,16,1,16,,,131072,default,950.0,Up to 10 Gigabit,4750.0,False,0.9216
r8g.4xlarge,True,arm64,16,1,16,,,131072,default,,Up to 15 Gigabit,5000.0,False,0.94256
r5.4xlarge,True,x86_64,8,2,16,,,131072,default,,Up to 10 Gigabit,4750.0,False,1.008
r6i.4xlarge,False,x86_64,8,2,16,,,131072,default,,Up to 12.5 Gigabit,5000.0,False,1.008
r5ad.4xlarge,True,x86_64,8,2,16,,,131072,default,600.0,Up to 10 Gigabit,2880.0,False,1.048
r8i-flex.4xlarge,True,x86_64,8,2,16,,,131072,default,,Up to 15 Gigabit,2500.0,False,1.05576
r7i.4xlarge,True,x86_64,8,2,16,,,131072,default,,Up to 12.5 Gigabit,5000.0,False,1.0584
r4.4xlarge,False,x86_64,8,2,16,,,124928,default,,Up to 10 Gigabit,3500.0,False,1.064
r7gd.4xlarge,True,arm64,16,1,16,,,131072,default,950.0,Up to 15 Gigabit,5000.0,False,1.0886
r8i.4xlarge,True,x86_64,8,2,16,,,131072,default,,Up to 15 Gigabit,5000.0,False,1.11136
r5d.4xlarge,True,x86_64,8,2,16,,,131072,default,600.0,Up to 10 Gigabit,4750.0,False,1.152
r8gd.4xlarge,True,arm64,16,1,16,,,131072,default,950.0,Up to 15 Gigabit,5000.0,False,1.17568
r5b.4xlarge,True,x86_64,8,2,16,,,131072,default,,Up to 10 Gigabit,10000.0,False,1.192
r5n.4xlarge,True,x86_64,8,2,16,,,131072,default,,Up to 25 Gigabit,4750.0,False,1.192
r6id.4xlarge,True,x86_64,8,2,16,,,131072,default,950.0,Up to 12.5 Gigabit,5000.0,False,1.2096
r7a.4xlarge,True,x86_64,16,1,16,,,131072,default,,Up to 12.5 Gigabit,5000.0,False,1.2172
r8a.4xlarge,True,x86_64,16,1,16,,,131072,default,,Up to 15 Gigabit,5000.0,False,1.27808
r3.4xlarge,False,x86_64,8,2,16,,,124928,supported,320.0,High,2000.0,False,1.33
r5dn.4xlarge,True,x86_64,8,2,16,,,131072,default,600.0,Up to 25 Gigabit,4750.0,False,1.336
r6in.4xlarge,True,x86_64,8,2,16,,,131072,default,,Up to 50 Gigabit,12500.0,False,1.39464
r8gn.4xlarge,True,arm64,16,1,16,,,131072,default,,50 Gigabit,10000.0,False,1.4574
r8gb.4xlarge,True,arm64,16,1,16,,,131072,default,,33.33 Gigabit,25000.0,False,1.45744
r7iz.4xlarge,True,x86_64,8,2,16,,,131072,default,,Up to 12.5 Gigabit,5000.0,False,1.488
r6idn.4xlarge,True,x86_64,8,2,16,,,131072,default,950.0,Up to 50 Gigabit,12500.0,False,1.56312
r6g.8xlarge,True,arm64,32,1,32,,,262144,default,,12 Gigabit,9500.0,False,1.6128
r7g.8xlarge,True,arm64,32,1,32,,,262144,default,,15 Gigabit,10000.0,False,1.7136
r5a.8xlarge,True,x86_64,16,2,32,,,262144,default,,Up to 10 Gigabit,4750.0,False,1.808
r6a.8xlarge,True,x86_64,16,2,32,,,262144,default,,12.5 Gigabit,10000.0,False,1.8144
r6gd.8xlarge,True,arm64,32,1,32,,,262144,default,1900.0,12 Gigabit,9500.0,False,1.8432
r8g.8xlarge,True,arm64,32,1,32,,,262144,default,,15 Gigabit,10000.0,False,1.88512
r6i.8xlarge,False,x86_64,16,2,32,,,262144,default,,12.5 Gigabit,10000.0,False,2.016
r5.8xlarge,True,x86_64,16,2,32,,,262144,default,,10 Gigabit,6800.0,False,2.016
r5ad.8xlarge,True,x86_64,16,2,32,,,262144,default,1200.0,Up to 10 Gigabit,4750.0,False,2.096
r8i-flex.8xlarge,True,x86_64,16,2,32,,,262144,default,,Up to 15 Gigabit,5000.0,False,2.11152
r7i.8xlarge,True,x86_64,16,2,32,,,262144,default,,12.5 Gigabit,10000.0,False,2.1168
r4.8xlarge,False,x86_64,16,2,32,,,249856,default,,10 Gigabit,7000.0,False,2.128
r7gd.8xlarge,True,arm64,32,1,32,,,262144,default,1900.0,15 Gigabit,10000.0,False,2.1773
r8i.8xlarge,True,x86_64,16,2,32,,,262144,default,,15 Gigabit,10000.0,False,2.22272
r5d.8xlarge,True,x86_64,16,2,32,,,262144,default,1200.0,10 Gigabit,6800.0,False,2.304
r8gd.8xlarge,True,arm64,32,1,32,,,262144,default,1900.0,15 Gigabit,10000.0,False,2.35136
r5b.8xlarge,True,x86_64,16,2,32,,,262144,default,,10 Gigabit,20000.0,False,2.384
r5n.8xlarge,True,x86_64,16,2,32,,,262144,default,,25 Gigabit,6800.0,False,2.384
r6g.12xlarge,True,arm64,48,1,48,,,393216,default,,20 Gigabit,14250.0,False,2.4192
r6id.8xlarge,True,x86_64,16,2,32,,,262144,default,1900.0,12.5 Gigabit,10000.0,False,2.4192
r7a.8xlarge,True,x86_64,32,1,32,,,262144,default,,12.5 Gigabit,10000.0,False,2.4344
r8a.8xlarge,True,x86_64,32,1,32,,,262144,default,,15 Gigabit,10000.0,False,2.55616
r7g.12xlarge,True,arm64,48,1,48,,,393216,default,,22.5 Gigabit,15000.0,False,2.5704
r3.8xlarge,False,x86_64,16,2,32,,,249856,unsupported,640.0,10 Gigabit,,False,2.66
r5dn.8xlarge,True,x86_64,16,2,32,,,262144,default,1200.0,25 Gigabit,6800.0,False,2.672
r5a.12xlarge,True,x86_64,24,2,48,,,393216,default,,10 Gigabit,6780.0,False,2.712
r6a.12xlarge,True,x86_64,24,2,48,,,393216,default,,18.75 Gigabit,15000.0,False,2.7216
r6gd.12xlarge,True,arm64,48,1,48,,,393216,default,2850.0,20 Gigabit,14250.0,False,2.7648
r6in.8xlarge,True,x86_64,16,2,32,,,262144,default,,50 Gigabit,25000.0,False,2.78928
r8g.12xlarge,True,arm64,48,1,48,,,393216,default,,22.5 Gigabit,15000.0,False,2.82768
r8gb.8xlarge,True,arm64,32,1,32,,,262144,default,,66.66 Gigabit,50000.0,False,2.91488
r8gn.8xlarge,True,arm64,32,1,32,,,262144,default,,100 Gigabit,20000.0,False,2.9149
r7iz.8xlarge,True,x86_64,16,2,32,,,262144,default,,12.5 Gigabit,10000.0,False,2.976
